inning_team,over_number,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,extras_type,extras_runs,wicket_kind,player_out,fielders
India,0,,RG Sharma,MA Starc,Shubman Gill,0,0,0,,,,,
India,0,,RG Sharma,MA Starc,Shubman Gill,2,0,2,,,,,
India,0,,RG Sharma,MA Starc,Shubman Gill,0,0,0,,,,,
India,0,,RG Sharma,MA Starc,Shubman Gill,0,0,0,,,,,
India,0,,RG Sharma,MA Starc,Shubman Gill,0,0,0,,,,,
India,0,,RG Sharma,MA Starc,Shubman Gill,1,0,1,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,2,0,2,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,4,0,4,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,4,0,4,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,0,0,0,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,0,0,0,,,,,
India,1,,RG Sharma,JR Hazlewood,Shubman Gill,0,0,0,,,,,
India,2,,Shubman Gill,MA Starc,RG Sharma,1,0,1,,,,,
India,2,,RG Sharma,MA Starc,Shubman Gill,0,1,1,,,,,
India,2,,RG Sharma,MA Starc,Shubman Gill,0,0,0,,,,,
India,2,,RG Sharma,MA Starc,Shubman Gill,1,0,1,,,,,
India,2,,Shubman Gill,MA Starc,RG Sharma,2,0,2,,,,,
India,2,,Shubman Gill,MA Starc,RG Sharma,0,0,0,,,,,
India,2,,Shubman Gill,MA Starc,RG Sharma,0,0,0,,,,,
India,3,,RG Sharma,JR Hazlewood,Shubman Gill,0,0,0,,,,,
India,3,,RG Sharma,JR Hazlewood,Shubman Gill,1,0,1,,,,,
India,3,,Shubman Gill,JR Hazlewood,RG Sharma,1,0,1,,,,,
India,3,,RG Sharma,JR Hazlewood,Shubman Gill,0,0,0,,,,,
India,3,,RG Sharma,JR Hazlewood,Shubman Gill,6,0,6,,,,,
India,3,,RG Sharma,JR Hazlewood,Shubman Gill,4,0,4,,,,,
India,4,,Shubman Gill,MA Starc,RG Sharma,0,0,0,,,,,
India,4,,Shubman Gill,MA Starc,RG Sharma,0,0,0,,,caught,Shubman Gill,['A Zampa']
India,4,,V Kohli,MA Starc,RG Sharma,0,0,0,,,,,
India,4,,V Kohli,MA Starc,RG Sharma,0,0,0,,,,,
India,4,,V Kohli,MA Starc,RG Sharma,1,0,1,,,,,
India,4,,RG Sharma,MA Starc,V Kohli,6,0,6,,,,,
India,5,,V Kohli,JR Hazlewood,RG Sharma,0,0,0,,,,,
India,5,,V Kohli,JR Hazlewood,RG Sharma,0,0,0,,,,,
India,5,,V Kohli,JR Hazlewood,RG Sharma,1,0,1,,,,,
India,5,,RG Sharma,JR Hazlewood,V Kohli,1,0,1,,,,,
India,5,,V Kohli,JR Hazlewood,RG Sharma,0,0,0,,,,,
India,5,,V Kohli,JR Hazlewood,RG Sharma,1,0,1,,,,,
India,6,,V Kohli,MA Starc,RG Sharma,4,0,4,,,,,
India,6,,V Kohli,MA Starc,RG Sharma,4,0,4,,,,,
India,6,,V Kohli,MA Starc,RG Sharma,4,0,4,,,,,
India,6,,V Kohli,MA Starc,RG Sharma,0,0,0,,,,,
India,6,,V Kohli,MA Starc,RG Sharma,1,0,1,,,,,
India,6,,RG Sharma,MA Starc,V Kohli,1,0,1,,,,,
India,7,,RG Sharma,GJ Maxwell,V Kohli,1,0,1,,,,,
India,7,,V Kohli,GJ Maxwell,RG Sharma,1,0,1,,,,,
India,7,,RG Sharma,GJ Maxwell,V Kohli,1,0,1,,,,,
India,7,,V Kohli,GJ Maxwell,RG Sharma,0,0,0,,,,,
India,7,,V Kohli,GJ Maxwell,RG Sharma,4,0,4,,,,,
India,7,,V Kohli,GJ Maxwell,RG Sharma,0,0,0,,,,,
India,8,,RG Sharma,PJ Cummins,V Kohli,1,0,1,,,,,
India,8,,V Kohli,PJ Cummins,RG Sharma,0,1,1,,,,,
India,8,,RG Sharma,PJ Cummins,V Kohli,0,0,0,,,,,
India,8,,RG Sharma,PJ Cummins,V Kohli,1,0,1,,,,,
India,8,,V Kohli,PJ Cummins,RG Sharma,0,0,0,,,,,
India,8,,V Kohli,PJ Cummins,RG Sharma,2,0,2,,,,,
India,9,,RG Sharma,GJ Maxwell,V Kohli,0,0,0,,,,,
India,9,,RG Sharma,GJ Maxwell,V Kohli,6,0,6,,,,,
India,9,,RG Sharma,GJ Maxwell,V Kohli,4,0,4,,,,,
India,9,,RG Sharma,GJ Maxwell,V Kohli,0,0,0,,,caught,RG Sharma,['TM Head']
India,9,,SS Iyer,GJ Maxwell,V Kohli,0,0,0,,,,,
India,9,,SS Iyer,GJ Maxwell,V Kohli,4,0,4,,,,,
India,10,,V Kohli,PJ Cummins,SS Iyer,1,0,1,,,,,
India,10,,SS Iyer,PJ Cummins,V Kohli,0,0,0,,,caught,SS Iyer,['JP Inglis']
India,10,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,10,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,10,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,10,,V Kohli,PJ Cummins,KL Rahul,0,0,0,,,,,
India,11,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,11,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,11,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,11,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,11,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,11,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,12,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,12,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,12,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,12,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,12,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,12,,V Kohli,PJ Cummins,KL Rahul,1,0,1,,,,,
India,13,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,13,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,13,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,13,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,13,,V Kohli,A Zampa,KL Rahul,0,0,0,,,,,
India,13,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,14,,V Kohli,PJ Cummins,KL Rahul,1,0,1,,,,,
India,14,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,14,,V Kohli,PJ Cummins,KL Rahul,1,0,1,,,,,
India,14,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,14,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,14,,KL Rahul,PJ Cummins,V Kohli,0,0,0,,,,,
India,15,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,15,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,15,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,15,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,15,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,15,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,16,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,16,,V Kohli,PJ Cummins,KL Rahul,0,0,0,,,,,
India,16,,V Kohli,PJ Cummins,KL Rahul,1,0,1,,,,,
India,16,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,16,,V Kohli,PJ Cummins,KL Rahul,0,0,0,,,,,
India,16,,V Kohli,PJ Cummins,KL Rahul,0,0,0,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,2,0,2,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,17,,KL Rahul,GJ Maxwell,V Kohli,1,0,1,,,,,
India,18,,KL Rahul,JR Hazlewood,V Kohli,1,0,1,,,,,
India,18,,V Kohli,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,18,,KL Rahul,JR Hazlewood,V Kohli,1,0,1,,,,,
India,18,,V Kohli,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,18,,KL Rahul,JR Hazlewood,V Kohli,1,0,1,,,,,
India,18,,V Kohli,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,19,,V Kohli,MR Marsh,KL Rahul,1,0,1,,,,,
India,19,,KL Rahul,MR Marsh,V Kohli,0,0,0,,,,,
India,19,,KL Rahul,MR Marsh,V Kohli,0,0,0,,,,,
India,19,,KL Rahul,MR Marsh,V Kohli,0,0,0,,,,,
India,19,,KL Rahul,MR Marsh,V Kohli,1,0,1,,,,,
India,19,,V Kohli,MR Marsh,KL Rahul,0,0,0,,,,,
India,20,,KL Rahul,JR Hazlewood,V Kohli,0,0,0,,,,,
India,20,,KL Rahul,JR Hazlewood,V Kohli,1,0,1,,,,,
India,20,,V Kohli,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,20,,KL Rahul,JR Hazlewood,V Kohli,1,0,1,,,,,
India,20,,V Kohli,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,20,,KL Rahul,JR Hazlewood,V Kohli,0,0,0,,,,,
India,21,,V Kohli,TM Head,KL Rahul,1,0,1,,,,,
India,21,,KL Rahul,TM Head,V Kohli,0,0,0,,,,,
India,21,,KL Rahul,TM Head,V Kohli,0,0,0,,,,,
India,21,,KL Rahul,TM Head,V Kohli,0,0,0,,,,,
India,21,,KL Rahul,TM Head,V Kohli,1,0,1,,,,,
India,21,,V Kohli,TM Head,KL Rahul,0,0,0,,,,,
India,22,,KL Rahul,MA Starc,V Kohli,0,0,0,,,,,
India,22,,KL Rahul,MA Starc,V Kohli,0,0,0,,,,,
India,22,,KL Rahul,MA Starc,V Kohli,0,0,0,,,,,
India,22,,KL Rahul,MA Starc,V Kohli,1,0,1,,,,,
India,22,,V Kohli,MA Starc,KL Rahul,2,0,2,,,,,
India,22,,V Kohli,MA Starc,KL Rahul,1,0,1,,,,,
India,23,,V Kohli,MR Marsh,KL Rahul,0,0,0,,,,,
India,23,,V Kohli,MR Marsh,KL Rahul,1,0,1,,,,,
India,23,,KL Rahul,MR Marsh,V Kohli,0,0,0,,,,,
India,23,,KL Rahul,MR Marsh,V Kohli,1,0,1,,,,,
India,23,,V Kohli,MR Marsh,KL Rahul,1,0,1,,,,,
India,23,,KL Rahul,MR Marsh,V Kohli,0,0,0,,,,,
India,24,,V Kohli,GJ Maxwell,KL Rahul,0,0,0,,,,,
India,24,,V Kohli,GJ Maxwell,KL Rahul,1,0,1,,,,,
India,24,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,24,,KL Rahul,GJ Maxwell,V Kohli,1,0,1,,,,,
India,24,,V Kohli,GJ Maxwell,KL Rahul,0,0,0,,,,,
India,24,,V Kohli,GJ Maxwell,KL Rahul,1,0,1,,,,,
India,25,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,25,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,25,,KL Rahul,A Zampa,V Kohli,2,0,2,,,,,
India,25,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,25,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,25,,V Kohli,A Zampa,KL Rahul,0,0,0,,,,,
India,26,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,26,,KL Rahul,GJ Maxwell,V Kohli,4,0,4,,,,,
India,26,,KL Rahul,GJ Maxwell,V Kohli,0,0,0,,,,,
India,26,,KL Rahul,GJ Maxwell,V Kohli,1,0,1,,,,,
India,26,,V Kohli,GJ Maxwell,KL Rahul,1,0,1,,,,,
India,26,,KL Rahul,GJ Maxwell,V Kohli,1,0,1,,,,,
India,27,,KL Rahul,A Zampa,V Kohli,0,0,0,,,,,
India,27,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,27,,V Kohli,A Zampa,KL Rahul,0,0,0,,,,,
India,27,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,27,,KL Rahul,A Zampa,V Kohli,1,0,1,,,,,
India,27,,V Kohli,A Zampa,KL Rahul,1,0,1,,,,,
India,28,,V Kohli,PJ Cummins,KL Rahul,1,0,1,,,,,
India,28,,KL Rahul,PJ Cummins,V Kohli,1,0,1,,,,,
India,28,,V Kohli,PJ Cummins,KL Rahul,0,0,0,,,bowled,V Kohli,
India,28,,RA Jadeja,PJ Cummins,KL Rahul,0,0,0,,,,,
India,28,,RA Jadeja,PJ Cummins,KL Rahul,0,0,0,,,,,
India,28,,RA Jadeja,PJ Cummins,KL Rahul,0,1,1,,,,,
India,28,,RA Jadeja,PJ Cummins,KL Rahul,0,0,0,,,,,
India,29,,KL Rahul,A Zampa,RA Jadeja,1,0,1,,,,,
India,29,,RA Jadeja,A Zampa,KL Rahul,1,0,1,,,,,
India,29,,KL Rahul,A Zampa,RA Jadeja,0,0,0,,,,,
India,29,,KL Rahul,A Zampa,RA Jadeja,0,0,0,,,,,
India,29,,KL Rahul,A Zampa,RA Jadeja,1,0,1,,,,,
India,29,,RA Jadeja,A Zampa,KL Rahul,0,0,0,,,,,
India,30,,KL Rahul,PJ Cummins,RA Jadeja,2,0,2,,,,,
India,30,,KL Rahul,PJ Cummins,RA Jadeja,1,0,1,,,,,
India,30,,RA Jadeja,PJ Cummins,KL Rahul,0,0,0,,,,,
India,30,,RA Jadeja,PJ Cummins,KL Rahul,1,0,1,,,,,
India,30,,KL Rahul,PJ Cummins,RA Jadeja,1,0,1,,,,,
India,30,,RA Jadeja,PJ Cummins,KL Rahul,1,0,1,,,,,
India,31,,RA Jadeja,A Zampa,KL Rahul,0,0,0,,,,,
India,31,,RA Jadeja,A Zampa,KL Rahul,0,0,0,,,,,
India,31,,RA Jadeja,A Zampa,KL Rahul,1,0,1,,,,,
India,31,,KL Rahul,A Zampa,RA Jadeja,1,0,1,,,,,
India,31,,RA Jadeja,A Zampa,KL Rahul,1,0,1,,,,,
India,31,,KL Rahul,A Zampa,RA Jadeja,1,0,1,,,,,
India,32,,KL Rahul,MA Starc,RA Jadeja,0,0,0,,,,,
India,32,,KL Rahul,MA Starc,RA Jadeja,0,0,0,,,,,
India,32,,KL Rahul,MA Starc,RA Jadeja,1,0,1,,,,,
India,32,,RA Jadeja,MA Starc,KL Rahul,1,0,1,,,,,
India,32,,KL Rahul,MA Starc,RA Jadeja,1,0,1,,,,,
India,32,,RA Jadeja,MA Starc,KL Rahul,0,0,0,,,,,
India,33,,KL Rahul,TM Head,RA Jadeja,1,0,1,,,,,
India,33,,RA Jadeja,TM Head,KL Rahul,0,0,0,,,,,
India,33,,RA Jadeja,TM Head,KL Rahul,1,0,1,,,,,
India,33,,KL Rahul,TM Head,RA Jadeja,0,2,2,,,,,
India,33,,KL Rahul,TM Head,RA Jadeja,0,0,0,,,,,
India,33,,KL Rahul,TM Head,RA Jadeja,0,0,0,,,,,
India,34,,RA Jadeja,MA Starc,KL Rahul,0,0,0,,,,,
India,34,,RA Jadeja,MA Starc,KL Rahul,1,0,1,,,,,
India,34,,KL Rahul,MA Starc,RA Jadeja,1,0,1,,,,,
India,34,,RA Jadeja,MA Starc,KL Rahul,1,0,1,,,,,
India,34,,KL Rahul,MA Starc,RA Jadeja,1,0,1,,,,,
India,34,,RA Jadeja,MA Starc,KL Rahul,0,0,0,,,,,
India,35,,KL Rahul,JR Hazlewood,RA Jadeja,2,0,2,,,,,
India,35,,KL Rahul,JR Hazlewood,RA Jadeja,2,0,2,,,,,
India,35,,KL Rahul,JR Hazlewood,RA Jadeja,1,0,1,,,,,
India,35,,RA Jadeja,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,35,,RA Jadeja,JR Hazlewood,KL Rahul,0,0,0,,,caught,RA Jadeja,['JP Inglis']
India,35,,SA Yadav,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,36,,KL Rahul,GJ Maxwell,SA Yadav,0,0,0,,,,,
India,36,,KL Rahul,GJ Maxwell,SA Yadav,0,0,0,,,,,
India,36,,KL Rahul,GJ Maxwell,SA Yadav,0,0,0,,,,,
India,36,,KL Rahul,GJ Maxwell,SA Yadav,0,0,0,,,,,
India,36,,KL Rahul,GJ Maxwell,SA Yadav,1,0,1,,,,,
India,36,,SA Yadav,GJ Maxwell,KL Rahul,0,0,0,,,,,
India,37,,KL Rahul,JR Hazlewood,SA Yadav,1,0,1,,,,,
India,37,,SA Yadav,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,37,,SA Yadav,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,37,,SA Yadav,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,37,,KL Rahul,JR Hazlewood,SA Yadav,1,0,1,,,,,
India,37,,SA Yadav,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,38,,KL Rahul,A Zampa,SA Yadav,1,0,1,,,,,
India,38,,SA Yadav,A Zampa,KL Rahul,0,2,2,,,,,
India,38,,KL Rahul,A Zampa,SA Yadav,1,0,1,,,,,
India,38,,SA Yadav,A Zampa,KL Rahul,0,0,0,,,,,
India,38,,SA Yadav,A Zampa,KL Rahul,1,0,1,,,,,
India,38,,KL Rahul,A Zampa,SA Yadav,1,0,1,,,,,
India,38,,SA Yadav,A Zampa,KL Rahul,4,0,4,,,,,
India,39,,KL Rahul,JR Hazlewood,SA Yadav,1,0,1,,,,,
India,39,,SA Yadav,JR Hazlewood,KL Rahul,0,0,0,,,,,
India,39,,SA Yadav,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,39,,KL Rahul,JR Hazlewood,SA Yadav,1,0,1,,,,,
India,39,,SA Yadav,JR Hazlewood,KL Rahul,1,0,1,,,,,
India,39,,KL Rahul,JR Hazlewood,SA Yadav,1,0,1,,,,,
India,40,,KL Rahul,A Zampa,SA Yadav,0,0,0,,,,,
India,40,,KL Rahul,A Zampa,SA Yadav,1,0,1,,,,,
India,40,,SA Yadav,A Zampa,KL Rahul,1,0,1,,,,,
India,40,,KL Rahul,A Zampa,SA Yadav,0,0,0,,,,,
India,40,,KL Rahul,A Zampa,SA Yadav,1,0,1,,,,,
India,40,,SA Yadav,A Zampa,KL Rahul,0,0,0,,,,,
India,41,,KL Rahul,MA Starc,SA Yadav,0,2,2,,,,,
India,41,,SA Yadav,MA Starc,KL Rahul,0,0,0,,,,,
India,41,,SA Yadav,MA Starc,KL Rahul,1,0,1,,,,,
India,41,,KL Rahul,MA Starc,SA Yadav,0,0,0,,,caught,KL Rahul,['JP Inglis']
India,41,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,,,
India,41,,Mohammed Shami,MA Starc,SA Yadav,4,0,4,,,,,
India,41,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,,,
India,42,,SA Yadav,PJ Cummins,Mohammed Shami,1,0,1,,,,,
India,42,,Mohammed Shami,PJ Cummins,SA Yadav,0,0,0,,,,,
India,42,,Mohammed Shami,PJ Cummins,SA Yadav,1,0,1,,,,,
India,42,,SA Yadav,PJ Cummins,Mohammed Shami,0,0,0,,,,,
India,42,,SA Yadav,PJ Cummins,Mohammed Shami,1,0,1,,,,,
India,42,,Mohammed Shami,PJ Cummins,SA Yadav,1,0,1,,,,,
India,43,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,,,
India,43,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,,,
India,43,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,,,
India,43,,Mohammed Shami,MA Starc,SA Yadav,0,0,0,,,caught,Mohammed Shami,['JP Inglis']
India,43,,JJ Bumrah,MA Starc,SA Yadav,1,0,1,,,,,
India,43,,SA Yadav,MA Starc,JJ Bumrah,1,0,1,,,,,
India,44,,SA Yadav,A Zampa,JJ Bumrah,0,0,0,,,,,
India,44,,SA Yadav,A Zampa,JJ Bumrah,0,0,0,,,,,
India,44,,SA Yadav,A Zampa,JJ Bumrah,1,0,1,,,,,
India,44,,JJ Bumrah,A Zampa,SA Yadav,0,0,0,,,,,
India,44,,JJ Bumrah,A Zampa,SA Yadav,0,0,0,,,lbw,JJ Bumrah,
India,44,,Kuldeep Yadav,A Zampa,SA Yadav,1,0,1,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,1,0,1,,,,,
India,45,,SA Yadav,MA Starc,Kuldeep Yadav,1,0,1,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,0,0,0,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,0,0,0,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,2,0,2,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,0,1,1,,,,,
India,45,,Kuldeep Yadav,MA Starc,SA Yadav,1,0,1,,,,,
India,46,,Kuldeep Yadav,PJ Cummins,SA Yadav,0,0,0,,,,,
India,46,,Kuldeep Yadav,PJ Cummins,SA Yadav,1,0,1,,,,,
India,46,,SA Yadav,PJ Cummins,Kuldeep Yadav,1,0,1,,,,,
India,46,,Kuldeep Yadav,PJ Cummins,SA Yadav,0,0,0,,,,,
India,46,,Kuldeep Yadav,PJ Cummins,SA Yadav,0,0,0,,,,,
India,46,,Kuldeep Yadav,PJ Cummins,SA Yadav,0,0,0,,,,,
India,47,,SA Yadav,JR Hazlewood,Kuldeep Yadav,0,0,0,,,,,
India,47,,SA Yadav,JR Hazlewood,Kuldeep Yadav,0,1,1,,,,,
India,47,,SA Yadav,JR Hazlewood,Kuldeep Yadav,2,0,2,,,,,
India,47,,SA Yadav,JR Hazlewood,Kuldeep Yadav,0,0,0,,,caught,SA Yadav,['JP Inglis']
India,47,,Mohammed Siraj,JR Hazlewood,Kuldeep Yadav,1,0,1,,,,,
India,47,,Kuldeep Yadav,JR Hazlewood,Mohammed Siraj,0,0,0,,,,,
India,47,,Kuldeep Yadav,JR Hazlewood,Mohammed Siraj,0,0,0,,,,,
India,48,,Mohammed Siraj,PJ Cummins,Kuldeep Yadav,0,0,0,,,,,
India,48,,Mohammed Siraj,PJ Cummins,Kuldeep Yadav,0,1,1,,,,,
India,48,,Mohammed Siraj,PJ Cummins,Kuldeep Yadav,0,0,0,,,,,
India,48,,Mohammed Siraj,PJ Cummins,Kuldeep Yadav,1,0,1,,,,,
India,48,,Kuldeep Yadav,PJ Cummins,Mohammed Siraj,1,0,1,,,,,
India,48,,Mohammed Siraj,PJ Cummins,Kuldeep Yadav,1,0,1,,,,,
India,48,,Kuldeep Yadav,PJ Cummins,Mohammed Siraj,1,0,1,,,,,
India,49,,Kuldeep Yadav,JR Hazlewood,Mohammed Siraj,1,0,1,,,,,
India,49,,Mohammed Siraj,JR Hazlewood,Kuldeep Yadav,4,0,4,,,,,
India,49,,Mohammed Siraj,JR Hazlewood,Kuldeep Yadav,1,0,1,,,,,
